Country/Region,ConfirmedCases,RecoveredCases,Deaths
Afghanistan,1092,166,40
Albania,609,356,27
Algeria,2811,1204,402
Andorra,717,309,37
Angola,24,6,2
Antigua and Barbuda,23,10,3
Argentina,3031,872,152
Armenia,1401,633,24
Australia,2926,1379,26
Austria,14873,11328,510
Azerbaijan,1480,907,20
Bahamas,65,12,9
Bahrain,1973,1026,7
Bangladesh,3382,92,120
Barbados,75,25,5
Belarus,6723,769,58
Belgium,40956,9433,6262
Belize,18,2,2
Benin,54,27,1
Bhutan,6,2,0
Bolivia,598,44,37
Bosnia and Herzegovina,1342,460,53
Botswana,20,0,1
Brazil,43079,25318,2906
Brunei,138,117,1
Bulgaria,975,174,49
Burkina Faso,600,389,39
Burma,121,7,5
Burundi,5,4,1
Cabo Verde,68,1,1
Cambodia,122,110,0
Cameroon,1163,397,43
Canada,20126,14454,1134
Central African Republic,14,10,0
Chad,33,8,0
Chile,10832,5386,160
China,68128,64435,4512
Colombia,4149,870,206
Congo (Brazzaville),165,16,6
Congo (Kinshasa),350,45,25
Costa Rica,669,180,6
Cote d'Ivoire,916,310,14
Croatia,1908,869,48
Cuba,1137,341,40
Cyprus,784,98,13
Czechia,7033,1989,208
Denmark,7695,5087,384
Diamond Princess,712,644,13
Djibouti,945,183,2
Dominica,16,9,0
Dominican Republic,5044,581,260
Ecuador,10398,1262,537
Egypt,3490,935,276
El Salvador,225,63,7
Equatorial Guinea,83,7,1
Eritrea,39,6,0
Estonia,1552,184,44
Eswatini,31,8,1
Ethiopia,114,21,3
Fiji,18,8,0
Finland,4014,2000,149
France,158050,40657,21340
Gabon,156,24,1
Gambia,10,2,1
Georgia,408,107,5
Germany,148291,99400,5279
Ghana,1042,99,9
Greece,2401,577,121
Grenada,14,6,0
Guatemala,294,24,8
Guinea,688,164,6
Guinea-Bissau,50,3,0
Guyana,66,9,7
Haiti,57,2,4
Holy See,9,2,0
Honduras,494,30,46
Hungary,2098,295,225
Iceland,1778,1462,10
India,20080,4370,681
Indonesia,7135,913,635
Iran,84802,63113,5391
Iraq,1602,1146,83
Ireland,16040,9233,769
Israel,13942,5215,189
Italy,183957,54543,25085
Jamaica,223,27,6
Japan,11135,1356,281
Jordan,428,315,7
Kazakhstan,1995,515,19
Kenya,296,74,14
"Korea, South",10683,8277,238
Kosovo,510,93,12
Kuwait,2080,443,13
Kyrgyzstan,590,254,7
Laos,19,4,0
Latvia,748,133,11
Lebanon,677,113,22
Liberia,101,20,8
Libya,51,15,1
Liechtenstein,81,55,1
Lithuania,1350,357,38
Luxembourg,3618,711,80
MS Zaandam,9,0,2
Madagascar,121,52,0
Malawi,18,3,3
Malaysia,5482,3452,93
Maldives,83,16,0
Mali,258,73,17
Malta,443,165,3
Mauritania,7,6,1
Mauritius,328,261,9
Mexico,8772,2627,857
Moldova,2614,560,75
Monaco,94,26,3
Mongolia,34,8,0
Montenegro,313,116,5
Morocco,3209,417,149
Mozambique,39,8,0
Namibia,16,6,0
Nepal,43,7,0
Netherlands,34134,250,4054
New Zealand,1445,1036,14
Nicaragua,10,7,2
Niger,657,193,22
Nigeria,665,197,28
North Macedonia,1231,272,56
Norway,7191,32,187
Oman,1508,238,8
Pakistan,9565,2156,212
Panama,4658,231,141
Papua New Guinea,7,0,0
Paraguay,208,62,9
Peru,17837,7027,530
Philippines,6599,693,446
Poland,9856,1513,426
Portugal,21379,1143,785
Qatar,6533,689,10
Romania,9242,2406,524
Russia,52763,4420,513
Rwanda,150,84,0
Saint Kitts and Nevis,15,1,0
Saint Lucia,15,15,0
Saint Vincent and the Grenadines,12,3,0
San Marino,476,62,40
Sao Tome and Principe,4,0,0
Saudi Arabia,11631,1812,114
Senegal,412,253,6
Serbia,6630,870,125
Seychelles,11,5,0
Sierra Leone,50,6,0
Singapore,9125,896,12
Slovakia,1199,284,14
Slovenia,1344,205,79
Somalia,286,4,8
South Africa,3465,1055,65
South Sudan,4,0,0
Spain,204178,85915,21717
Sri Lanka,310,105,7
Sudan,107,12,13
Suriname,10,6,1
Sweden,15322,550,1937
Switzerland,28063,19900,1509
Syria,42,6,3
Taiwan*,425,236,6
Tanzania,254,11,10
Thailand,2811,2352,49
Timor-Leste,23,1,0
Togo,86,56,6
Trinidad and Tobago,115,37,8
Tunisia,884,190,38
Turkey,95591,16477,2376
US,812036,77366,46583
Uganda,61,45,0
Ukraine,6125,424,174
United Arab Emirates,7755,1546,52
United Kingdom,129044,344,18100
Uruguay,535,324,12
Uzbekistan,1678,450,7
Venezuela,285,122,10
Vietnam,268,223,0
West Bank and Gaza,466,71,4
Western Sahara,6,0,0
Yemen,1,0,0
Zambia,70,35,3
Zimbabwe,28,2,4
